id,type,group,name
0,1,motion,motion
1,5,motion,deltaX
2,5,motion,deltaY
3,2,motion,shutter
4,1,motion,maxRaw
5,1,motion,minRaw
6,1,motion,Rawsum
7,1,motion,outlierCount
8,1,motion,squal
9,7,motion,std
10,3,motor,m1
11,3,motor,m2
12,3,motor,m3
13,3,motor,m4
14,6,motor,m1req
15,6,motor,m2req
16,6,motor,m3req
17,6,motor,m4req
18,7,pm,vbat
19,2,pm,vbatMV
20,7,pm,extVbat
21,2,pm,extVbatMV
22,7,pm,extCurr
23,7,pm,chargeCurrent
24,4,pm,state
25,1,pm,batteryLevel
26,1,radio,rssi
27,1,radio,isConnected
28,2,radio,numRxBc
29,2,radio,numRxUc
30,5,gyro,xRaw
31,5,gyro,yRaw
32,5,gyro,zRaw
33,7,gyro,xVariance
34,7,gyro,yVariance
35,7,gyro,zVariance
36,7,gyro,x
37,7,gyro,y
38,7,gyro,z
39,3,colAv,latency
40,7,ext_pos,X
41,7,ext_pos,Y
42,7,ext_pos,Z
43,7,locSrv,x
44,7,locSrv,y
45,7,locSrv,z
46,7,locSrv,qx
47,7,locSrv,qy
48,7,locSrv,qz
49,7,locSrv,qw
50,2,locSrvZ,tick
51,2,crtp,rxRate
52,2,crtp,txRate
53,2,extrx_raw,ch0
54,2,extrx_raw,ch1
55,2,extrx_raw,ch2
56,2,extrx_raw,ch3
57,2,extrx_raw,ch4
58,2,extrx_raw,ch5
59,2,extrx_raw,ch6
60,2,extrx_raw,ch7
61,7,extrx,thrust
62,7,extrx,roll
63,7,extrx,pitch
64,7,extrx,rollRate
65,7,extrx,pitchRate
66,7,extrx,yawRate
67,7,extrx,zVel
68,1,extrx,AltHold
69,1,extrx,Arm
70,7,health,motorVarXM1
71,7,health,motorVarYM1
72,7,health,motorVarXM2
73,7,health,motorVarYM2
74,7,health,motorVarXM3
75,7,health,motorVarYM3
76,7,health,motorVarXM4
77,7,health,motorVarYM4
78,1,health,motorPass
79,7,health,batterySag
80,1,health,batteryPass
81,2,health,motorTestCount
82,3,memTst,errCntW
83,2,range,front
84,2,range,back
85,2,range,up
86,2,range,left
87,2,range,right
88,2,range,zrange
89,7,sensfusion6,qw
90,7,sensfusion6,qx
91,7,sensfusion6,qy
92,7,sensfusion6,qz
93,7,sensfusion6,gravityX
94,7,sensfusion6,gravityY
95,7,sensfusion6,gravityZ
96,7,sensfusion6,accZbase
97,1,sensfusion6,isInit
98,1,sensfusion6,isCalibrated
99,7,ctrltarget,x
100,7,ctrltarget,y
101,7,ctrltarget,z
102,7,ctrltarget,vx
103,7,ctrltarget,vy
104,7,ctrltarget,vz
105,7,ctrltarget,ax
106,7,ctrltarget,ay
107,7,ctrltarget,az
108,7,ctrltarget,roll
109,7,ctrltarget,pitch
110,7,ctrltarget,yaw
111,5,ctrltargetZ,x
112,5,ctrltargetZ,y
113,5,ctrltargetZ,z
114,5,ctrltargetZ,vx
115,5,ctrltargetZ,vy
116,5,ctrltargetZ,vz
117,5,ctrltargetZ,ax
118,5,ctrltargetZ,ay
119,5,ctrltargetZ,az
120,7,stabilizer,roll
121,7,stabilizer,pitch
122,7,stabilizer,yaw
123,7,stabilizer,thrust
124,7,stabilizer,rtStab
125,3,stabilizer,intToOut
126,7,acc,x
127,7,acc,y
128,7,acc,z
129,7,baro,asl
130,7,baro,temp
131,7,baro,pressure
132,7,mag,x
133,7,mag,y
134,7,mag,z
