id,type,readonly,group,name
0,8,1,deck,bcBuzzer
1,8,1,deck,bcFlow
2,8,1,deck,bcFlow2
3,8,1,deck,bcZRanger
4,8,1,deck,bcZRanger2
5,8,0,motion,disable
6,8,0,motion,adaptive
7,6,0,motion,flowStdFixed
8,8,0,led,bitmask
9,8,0,motorPowerSet,enable
10,9,0,motorPowerSet,m1
11,9,0,motorPowerSet,m2
12,9,0,motorPowerSet,m3
13,9,0,motorPowerSet,m4
14,6,0,pm,lowVoltage
15,6,0,pm,criticalLowVoltage
16,8,1,imu_sensors,BMP3XX
17,6,0,imu_sensors,imuPhi
18,6,0,imu_sensors,imuTheta
19,6,0,imu_sensors,imuPsi
20,8,1,imu_sensors,AK8963
21,8,1,imu_sensors,LPS25H
22,8,1,imu_tests,MPU6500
23,8,1,imu_tests,AK8963
24,8,1,imu_tests,LPS25H
25,6,0,imu_tests,imuPhi
26,6,0,imu_tests,imuTheta
27,6,0,imu_tests,imuPsi
28,8,0,system,storageStats
29,8,0,system,storageReformat
30,0,0,system,arm
31,8,0,system,taskDump
32,0,1,system,selftestPassed
33,8,0,system,assertInfo
34,8,0,system,testLogParam
35,8,0,system,doAssert
36,8,0,syslink,probe
37,8,0,usec,reset
38,8,0,colAv,enable
39,6,0,colAv,ellipsoidX
40,6,0,colAv,ellipsoidY
41,6,0,colAv,ellipsoidZ
42,6,0,colAv,bboxMinX
43,6,0,colAv,bboxMinY
44,6,0,colAv,bboxMinZ
45,6,0,colAv,bboxMaxX
46,6,0,colAv,bboxMaxY
47,6,0,colAv,bboxMaxZ
48,6,0,colAv,horizon
49,6,0,colAv,maxSpeed
50,6,0,colAv,sidestepThrsh
51,2,0,colAv,maxPeerLocAge
52,6,0,colAv,vorTol
53,2,0,colAv,vorIters
54,8,0,commander,enHighLevel
55,6,0,cppm,rateRoll
56,6,0,cppm,ratePitch
57,6,0,cppm,angPitch
58,6,0,cppm,angRoll
59,6,0,cppm,rateYaw
60,6,0,hlCommander,vtoff
61,6,0,hlCommander,vland
62,8,0,hlCommander,groupmask
63,8,0,flightmode,althold
64,8,0,flightmode,poshold
65,8,0,flightmode,posSet
66,8,0,flightmode,yawMode
67,8,0,flightmode,stabModeRoll
68,8,0,flightmode,stabModePitch
69,8,0,flightmode,stabModeYaw
70,8,0,locSrv,enRangeStreamFP32
71,8,0,locSrv,enLhAngleStream
72,6,0,locSrv,extPosStdDev
73,6,0,locSrv,extQuatStdDev
74,9,0,crtpsrv,echoDelay
75,8,0,health,startPropTest
76,8,0,health,startBatTest
77,9,0,health,propTestPWMRatio
78,9,0,health,batTestPWMRatio
79,6,0,kalman,maxPos
80,6,0,kalman,maxVel
81,8,0,kalman,resetEstimation
82,8,0,kalman,robustTdoa
83,8,0,kalman,robustTwr
84,6,0,kalman,pNAcc_xy
85,6,0,kalman,pNAcc_z
86,6,0,kalman,pNVel
87,6,0,kalman,pNPos
88,6,0,kalman,pNAtt
89,6,0,kalman,mNBaro
90,6,0,kalman,mNGyro_rollpitch
91,6,0,kalman,mNGyro_yaw
92,6,0,kalman,initialX
93,6,0,kalman,initialY
94,6,0,kalman,initialZ
95,6,0,kalman,initialYaw
96,8,0,memTst,resetW
97,6,0,quadSysId,thrustToTorque
98,6,0,quadSysId,pwmToThrustA
99,6,0,quadSysId,pwmToThrustB
100,6,0,quadSysId,armLength
101,10,0,powerDist,idleThrust
102,6,0,sensfusion6,kp
103,6,0,sensfusion6,ki
104,6,0,sensfusion6,baseZacc
105,8,0,sound,effect
106,10,1,sound,neffect
107,9,0,sound,freq
108,8,0,stabilizer,estimator
109,8,0,stabilizer,controller
110,8,0,stabilizer,stop
111,8,0,supervisor,infdmp
112,9,0,supervisor,landedTimeout
113,9,1,cpu,flash
114,10,1,cpu,id0
115,10,1,cpu,id1
116,10,1,cpu,id2
117,10,0,Dipole_Params,calibTic
118,6,0,Dipole_Params,STD_nelder
119,6,0,pid_rate,roll_kp
120,6,0,pid_rate,roll_ki
121,6,0,pid_rate,roll_kd
122,6,0,pid_rate,roll_kff
123,6,0,pid_rate,pitch_kp
124,6,0,pid_rate,pitch_ki
125,6,0,pid_rate,pitch_kd
126,6,0,pid_rate,pitch_kff
127,6,0,pid_rate,yaw_kp
128,6,0,pid_rate,yaw_ki
129,6,0,pid_rate,yaw_kd
130,6,0,pid_rate,yaw_kff
131,0,0,pid_rate,rateFiltEn
132,6,0,pid_rate,omxFiltCut
