id,type,group,name
0,1,motion,motion
1,5,motion,deltaX
2,5,motion,deltaY
3,2,motion,shutter
4,1,motion,maxRaw
5,1,motion,minRaw
6,1,motion,Rawsum
7,1,motion,outlierCount
8,1,motion,squal
9,7,motion,std
10,7,Dipole_Model,M_V1
11,7,Dipole_Model,M_V2
12,7,Dipole_Model,M_V3
13,7,Dipole_Model,M_V4
14,7,Optimization_Model,T_x
15,7,Optimization_Model,T_y
16,7,Optimization_Model,T_z
17,7,Optimization_Model,KF_x
18,7,Optimization_Model,KF_y
19,7,Optimization_Model,KF_z
20,3,motor,m1
21,3,motor,m2
22,3,motor,m3
23,3,motor,m4
24,6,motor,m1req
25,6,motor,m2req
26,6,motor,m3req
27,6,motor,m4req
28,7,pm,vbat
29,2,pm,vbatMV
30,7,pm,extVbat
31,2,pm,extVbatMV
32,7,pm,extCurr
33,7,pm,chargeCurrent
34,4,pm,state
35,1,pm,batteryLevel
36,1,radio,rssi
37,1,radio,isConnected
38,2,radio,numRxBc
39,2,radio,numRxUc
40,5,gyro,xRaw
41,5,gyro,yRaw
42,5,gyro,zRaw
43,7,gyro,xVariance
44,7,gyro,yVariance
45,7,gyro,zVariance
46,7,gyro,x
47,7,gyro,y
48,7,gyro,z
49,3,colAv,latency
50,2,locSrvZ,tick
51,7,locSrv,x
52,7,locSrv,y
53,7,locSrv,z
54,7,locSrv,qx
55,7,locSrv,qy
56,7,locSrv,qz
57,7,locSrv,qw
58,7,ext_pos,X
59,7,ext_pos,Y
60,7,ext_pos,Z
61,2,crtp,rxRate
62,2,crtp,txRate
63,7,extrx,thrust
64,7,extrx,roll
65,7,extrx,pitch
66,7,extrx,rollRate
67,7,extrx,pitchRate
68,7,extrx,yawRate
69,7,extrx,zVel
70,1,extrx,AltHold
71,1,extrx,Arm
72,2,extrx_raw,ch0
73,2,extrx_raw,ch1
74,2,extrx_raw,ch2
75,2,extrx_raw,ch3
76,2,extrx_raw,ch4
77,2,extrx_raw,ch5
78,2,extrx_raw,ch6
79,2,extrx_raw,ch7
80,7,health,motorVarXM1
81,7,health,motorVarYM1
82,7,health,motorVarXM2
83,7,health,motorVarYM2
84,7,health,motorVarXM3
85,7,health,motorVarYM3
86,7,health,motorVarXM4
87,7,health,motorVarYM4
88,1,health,motorPass
89,7,health,batterySag
90,1,health,batteryPass
91,2,health,motorTestCount
92,3,memTst,errCntW
93,2,range,front
94,2,range,back
95,2,range,up
96,2,range,left
97,2,range,right
98,2,range,zrange
99,7,sensfusion6,qw
100,7,sensfusion6,qx
101,7,sensfusion6,qy
102,7,sensfusion6,qz
103,7,sensfusion6,gravityX
104,7,sensfusion6,gravityY
105,7,sensfusion6,gravityZ
106,7,sensfusion6,accZbase
107,1,sensfusion6,isInit
108,1,sensfusion6,isCalibrated
109,5,stateEstimateZ,x
110,5,stateEstimateZ,y
111,5,stateEstimateZ,z
112,5,stateEstimateZ,vx
113,5,stateEstimateZ,vy
114,5,stateEstimateZ,vz
115,5,stateEstimateZ,ax
116,5,stateEstimateZ,ay
117,5,stateEstimateZ,az
118,3,stateEstimateZ,quat
119,5,stateEstimateZ,rateRoll
120,5,stateEstimateZ,ratePitch
121,5,stateEstimateZ,rateYaw
122,7,stateEstimate,x
123,7,stateEstimate,y
124,7,stateEstimate,z
125,7,stateEstimate,vx
126,7,stateEstimate,vy
127,7,stateEstimate,vz
128,7,stateEstimate,ax
